Time, X, Y, Z, errorZ, 
1.96667,0,0,9.95444,0.0455643,28.775
1.98333,0,0,9.9569,0.0431039,28.8134
2,0,0,9.95919,0.0408097,28.8498
2.01667,0,0,9.96133,0.0386718,28.8844
2.03333,0,0,9.96332,0.036681,28.9171
2.05,0,0,9.96517,0.0348283,28.9481
2.06667,0,0,9.96689,0.0331054,28.9775
2.08333,0,0,9.9685,0.0315043,29.0052
2.1,0,0,9.96998,0.0300176,29.0315
2.11667,0,0,9.97136,0.0286381,29.0563
2.13333,0,0,9.97264,0.0273592,29.0798
2.15,0,0,9.97383,0.0261744,29.102
2.16667,0,0,9.97492,0.0250779,29.1229
2.18333,0,0,9.97594,0.0240639,29.1427
2.2,0,0,9.97687,0.0231271,29.1614
2.21667,0,0,9.97774,0.0222625,29.179
2.23333,0,0,9.97853,0.0214653,29.1956
2.25,0,0,9.97927,0.020731,29.2112
2.26667,0,0,9.97994,0.0200555,29.2259
2.28333,0,0,9.98057,0.0194347,29.2398
2.3,0,0,9.98114,0.018865,29.2529
2.31667,0,0,9.98166,0.0183427,29.2652
2.33333,0,0,9.98214,0.0178646,29.2767
2.35,0,0,9.98257,0.0174276,29.2875
2.36667,0,0,9.98297,0.0170288,29.2977
2.38333,0,0,9.98333,0.0166654,29.3073
2.4,0,0,9.98367,0.0163348,29.3163
2.41667,0,0,9.98397,0.0160346,29.3247
2.43333,0,0,9.98424,0.0157625,29.3326
2.45,0,0,9.98448,0.0155165,29.34
2.46667,0,0,9.98471,0.0152945,29.3469
2.48333,0,0,9.98491,0.0150947,29.3534
2.5,0,0,9.98508,0.0149153,29.3595
2.51667,0,0,9.98525,0.0147547,29.3652
2.53333,0,0,9.98539,0.0146114,29.3705
2.55,0,0,9.98552,0.014484,29.3754
2.56667,0,0,9.98563,0.014371,29.38
2.58333,0,0,9.98573,0.0142714,29.3843
2.6,0,0,9.98582,0.0141839,29.3883
2.61667,0,0,9.98589,0.0141074,29.3921
2.63333,0,0,9.98596,0.014041,29.3955
2.65,0,0,9.98602,0.0139837,29.3988
2.66667,0,0,9.98607,0.0139347,29.4018
2.68333,0,0,9.98611,0.0138931,29.4045
2.7,0,0,9.98614,0.0138583,29.4071
2.71667,0,0,9.98617,0.0138295,29.4095
2.73333,0,0,9.98619,0.0138061,29.4117
2.75,0,0,9.98621,0.0137874,29.4138
2.76667,0,0,9.98623,0.013773,29.4156
2.78333,0,0,9.98624,0.0137624,29.4174
2.8,0,0,9.98624,0.0137551,29.419
2.81667,0,0,9.98625,0.0137506,29.4205
2.83333,0,0,9.98625,0.0137485,29.4218
2.85,0,0,9.98625,0.0137486,29.4231
2.86667,0,0,9.98625,0.0137505,29.4242
2.88333,0,0,9.98625,0.0137538,29.4252
2.9,0,0,9.98624,0.0137583,29.4262
2.91667,0,0,9.98624,0.0137637,29.427
2.93333,0,0,9.98623,0.0137699,29.4278
2.95,0,0,9.98622,0.0137765,29.4285
2.96667,0,0,9.98622,0.0137835,29.4292
2.98333,0,0,9.98621,0.0137906,29.4298
3,0,0,9.9862,0.0137977,29.4303
3.01667,0,0,9.9862,0.0138047,29.4308
3.03333,0,0,9.98619,0.0138114,29.4312
3.05,0,0,9.98618,0.0138177,29.4316
3.06667,0,0,9.98618,0.0138235,29.4319
3.08333,0,0,9.98617,0.0138288,29.4322
3.1,0,0,9.98617,0.0138334,29.4324
3.11667,0,0,9.98616,0.0138373,29.4326
3.13333,0,0,9.98616,0.0138405,29.4328
3.15,0,0,9.98616,0.0138428,29.433
3.16667,0,0,9.98616,0.0138443,29.4331
3.18333,0,0,9.98616,0.013845,29.4332
3.2,0,0,9.98616,0.0138447,29.4333
3.21667,0,0,9.98616,0.0138434,29.4334
3.23333,0,0,9.98616,0.0138412,29.4334
3.25,0,0,9.98616,0.0138381,29.4335
3.26667,0,0,9.98617,0.013834,29.4335
3.28333,0,0,9.98617,0.0138289,29.4335
3.3,0,0,9.98618,0.0138228,29.4335
3.31667,0,0,9.98618,0.0138158,29.4335
3.33333,0,0,9.98619,0.0138078,29.4335
3.35,0,0,9.9862,0.0137989,29.4334
3.36667,0,0,9.98621,0.013789,29.4334
3.38333,0,0,9.98622,0.0137782,29.4333
3.4,0,0,9.98623,0.0137665,29.4333
3.41667,0,0,9.98625,0.0137538,29.4332
3.43333,0,0,9.98626,0.0137403,29.4331
3.45,0,0,9.98627,0.013726,29.4331
3.46667,0,0,9.98629,0.0137107,29.433
3.48333,0,0,9.98631,0.0136947,29.4329
3.5,0,0,9.98632,0.0136779,29.4328
3.51667,0,0,9.98634,0.0136603,29.4328
3.53333,0,0,9.98636,0.0136419,29.4327
3.55,0,0,9.98638,0.0136229,29.4326
3.56667,0,0,9.9864,0.0136031,29.4325
3.58333,0,0,9.98642,0.0135826,29.4324
3.6,0,0,9.98644,0.0135614,29.4323
3.61667,0,0,9.98646,0.0135397,29.4323
3.63333,0,0,9.98648,0.0135173,29.4322
3.65,0,0,9.98651,0.0134943,29.4321
3.66667,0,0,9.98653,0.0134707,29.432
3.68333,0,0,9.98655,0.0134466,29.4319
3.7,0,0,9.98658,0.013422,29.4319
3.71667,0,0,9.9866,0.0133969,29.4318
3.73333,0,0,9.98663,0.0133713,29.4317
3.75,0,0,9.98665,0.0133452,29.4316
3.76667,0,0,9.98668,0.0133187,29.4315
3.78333,0,0,9.98671,0.0132917,29.4315
3.8,0,0,9.98674,0.0132644,29.4314
3.81667,0,0,9.98676,0.0132367,29.4313
3.83333,0,0,9.98679,0.0132086,29.4313
3.85,0,0,9.98682,0.0131802,29.4312
3.86667,0,0,9.98685,0.0131514,29.4311
3.88333,0,0,9.98688,0.0131223,29.4311
3.9,0,0,9.98691,0.013093,29.431
3.91667,0,0,9.98694,0.0130633,29.431
3.93333,0,0,9.98697,0.0130335,29.4309
3.95,0,0,9.987,0.0130033,29.4309
